Date,Open,High,Low,Close,Adj Close,Volume
2023/05/19,223.850006,236.300003,214,236.100006,236.100006,15387039
2023/05/22,244,247.899994,243,247.899994,247.899994,2264418
2023/05/23,260.25,260.25,260.25,260.25,260.25,891496
2023/05/24,266.399994,272.899994,253.350006,256.049988,256.049988,25402451
2023/05/25,256.649994,264.5,253.300003,259.149994,259.149994,7465428
2023/05/26,261.549988,263.799988,257,258.049988,258.049988,3436434
2023/05/29,259.899994,261.700012,255.5,256.399994,256.399994,2581847
2023/05/30,257,257.799988,250.199997,251.100006,251.100006,2767227
2023/05/31,251,256.700012,243.25,249.649994,249.649994,8595331
2023/06/01,252.550003,257.850006,251,254.149994,254.149994,4241162
2023/06/02,255.550003,261.299988,253.25,255.649994,255.649994,4140222
2023/06/05,256.700012,265,254.600006,259.450012,259.450012,5985089
2023/06/06,263,265,258.5,263,263,4579408
2023/06/07,267.850006,281.649994,267,274.850006,274.850006,17632425
2023/06/08,279.799988,286,273.950012,279.149994,279.149994,11017620
2023/06/09,282.5,282.950012,275.100006,276.200012,276.200012,4207318
2023/06/12,277,277.799988,268.600006,271.549988,271.549988,4056299
2023/06/13,272.600006,274.5,266.899994,267.799988,267.799988,2998067
2023/06/14,268.200012,271.399994,263.299988,265.25,265.25,3529920
2023/06/15,266.600006,274.149994,265.25,269.25,269.25,4817968
2023/06/16,271,273,264.799988,266.100006,266.100006,3777293
2023/06/19,266.899994,268.700012,261,263.649994,263.649994,2782345
2023/06/20,263.600006,265.399994,260.049988,261.700012,261.700012,1958707
2023/06/21,261.649994,265.700012,259.549988,260.649994,260.649994,2666965
2023/06/22,260.5,263.299988,255.850006,256.600006,256.600006,2706152
2023/06/23,256.600006,256.799988,241,242.399994,242.399994,7292829
2023/06/26,234.050003,254.399994,231,250.600006,250.600006,8107191
2023/06/27,255,257.950012,252.050003,253.100006,253.100006,2774315
2023/06/28,253.100006,253.100006,253.100006,253.100006,253.100006,0
2023/06/30,256,256.600006,249,249.850006,249.850006,2722288
2023/07/03,252.25,252.25,248,248.449997,248.449997,2501293
2023/07/04,249,251.699997,246.199997,247.100006,247.100006,2360805
2023/07/05,247.100006,249.399994,245.050003,245.649994,245.649994,2211677
2023/07/06,245.649994,248.399994,245.449997,246.449997,246.449997,2188169
2023/07/07,245.050003,247.699997,242.800003,243.75,243.75,1903403
2023/07/10,244.699997,249.350006,237.300003,242.050003,242.050003,4409516
2023/07/11,242.050003,245.75,241.350006,244.199997,244.199997,2080819
2023/07/12,245.449997,245.5,239,240.850006,240.850006,2057207
2023/07/13,242.25,242.949997,235.850006,237.199997,237.199997,2138783
2023/07/14,237.649994,242.699997,236,241.899994,241.899994,2505497
2023/07/17,245.350006,249.550003,243.350006,245.699997,245.699997,3871997
2023/07/18,246.949997,254.449997,242.800003,246.550003,246.550003,5590646
2023/07/19,248,248.75,245,245.699997,245.699997,1554790
2023/07/20,245.699997,246.949997,243.5,244.149994,244.149994,1364692
2023/07/21,243.149994,244.899994,240.949997,241.75,241.75,2001794
2023/07/24,242.850006,242.850006,237.149994,238,238,2445770
2023/07/25,238,262.899994,238,260.149994,260.149994,16455999
2023/07/26,262,265.450012,252.899994,255.5,255.5,14364433
2023/07/27,256.399994,257.700012,250.100006,253,253,3251677
2023/07/28,254,260.5,251.25,258.549988,258.549988,6180690
2023/07/31,260,275.5,259.5,273.299988,273.299988,15925979
2023/08/01,275.850006,279.899994,270.350006,273.200012,273.200012,7924194
2023/08/02,273.399994,276.450012,260.600006,267.700012,267.700012,6899383
2023/08/03,268.549988,280.450012,264.100006,274.850006,274.850006,17323631
2023/08/04,284,284.5,275.200012,278.5,278.5,10293961
2023/08/07,279.899994,280.850006,272.100006,273.299988,273.299988,5331796
2023/08/08,273,282,264.75,280.25,280.25,11629958
2023/08/09,280.700012,284,276.100006,277.149994,277.149994,7433237
2023/08/10,278.100006,291,276.450012,281.899994,281.899994,13815594
2023/08/11,283.75,289.399994,280.75,288.100006,288.100006,10008733
2023/08/14,283.299988,288.950012,276.049988,286.100006,286.100006,10660571
2023/08/16,286,291.700012,274.399994,279.899994,279.899994,33737517
2023/08/17,284.600006,288.5,282,286.549988,286.549988,18159548
2023/08/18,286.950012,321.649994,286.25,304.600006,304.600006,58120641
2023/08/21,306.700012,328,305.549988,324.850006,324.850006,35884689
2023/08/22,333.5,349.899994,331,347.399994,347.399994,36573300
2023/08/23,353,359.25,312.299988,322.850006,322.850006,49358727
2023/08/24,330,339.850006,322.850006,328.799988,328.799988,23268024
2023/08/25,329.899994,334.700012,319,325.049988,325.049988,16028515
2023/08/28,332,336,317.200012,321.799988,321.799988,14579011
2023/08/29,322.850006,338.850006,315.899994,332.700012,332.700012,25217118
2023/08/30,334.350006,336.299988,326.350006,328.399994,328.399994,9128939
2023/08/31,314,324.299988,309,321.299988,321.299988,21870905
2023/09/01,315,335.950012,312.25,330.25,330.25,24863644
2023/09/04,332,345.200012,332,341.75,341.75,15935199
2023/09/05,347.149994,352,336,342.450012,342.450012,16443461
2023/09/06,343.600006,350.5,339.149994,347.549988,347.549988,9482430
2023/09/07,349.350006,362.200012,345.100006,358.799988,358.799988,24935097
2023/09/08,360,372.399994,357,369.149994,369.149994,26073229
2023/09/11,373,403.200012,372.950012,398.399994,398.399994,44839639
2023/09/12,406,409.700012,373.399994,386.299988,386.299988,33894520
2023/09/13,385.75,392,366.799988,377.100006,377.100006,14536761
2023/09/14,380,383.799988,375.100006,377.149994,377.149994,6898172
2023/09/15,378.5,384,377.200012,379.399994,379.399994,18213490
2023/09/18,381,382.850006,372.450012,375,375,20351913
2023/09/20,371.149994,373.799988,366.049988,368.399994,368.399994,17656850
2023/09/21,367,385,364.399994,382.450012,382.450012,24721306
2023/09/22,385.299988,389.25,380,383.899994,383.899994,12000168
2023/09/25,383.899994,385.549988,378.200012,381.149994,381.149994,17125016
2023/09/26,380.049988,382.799988,375.100006,377.5,377.5,17002538
2023/09/27,379,379,373.25,375.350006,375.350006,16473986
2023/09/28,376.799988,379.850006,372.450012,375.399994,375.399994,19409168
2023/09/29,375.399994,379,373.100006,377.450012,377.450012,17989437
2023/10/03,376.899994,376.899994,363.200012,366.700012,366.700012,3312991
2023/10/04,367.299988,377.5,363.200012,372.049988,372.049988,7760046
2023/10/05,373.399994,376,364.100006,365.850006,365.850006,2382554
2023/10/06,366.399994,371,363,364.299988,364.299988,2349309
2023/10/09,352.299988,355,339,342,342,7353001
2023/10/10,343.399994,352.799988,343.299988,349.649994,349.649994,3720710
2023/10/11,353,358.700012,348.149994,349.799988,349.799988,3488974
2023/10/12,352,353.850006,346.100006,347.25,347.25,2062648
2023/10/13,345,345,341.25,341.899994,341.899994,2285167
2023/10/16,341.100006,343.649994,327,329.649994,329.649994,5569553
2023/10/17,331.950012,344.399994,331.899994,335.5,335.5,4646955
2023/10/18,337,339.700012,332,333.950012,333.950012,2269766
2023/10/19,333.899994,346.700012,331,344.450012,344.450012,5032636
2023/10/20,343,346.299988,335,338.299988,338.299988,3464389
2023/10/23,340.600006,342.100006,314.149994,316.450012,316.450012,6075498
2023/10/25,326.950012,329.799988,310.25,312.700012,312.700012,5402798
2023/10/26,310,336.299988,289.350006,327.350006,327.350006,12759045
2023/10/27,332,364.850006,331.549988,354.149994,354.149994,14877588
2023/10/30,354.399994,359.700012,345.049988,357.950012,357.950012,9014732
2023/10/31,361,367.899994,359.350006,363.049988,363.049988,7080271
2023/11/01,364.5,372.700012,357.600006,365.200012,365.200012,5572625
2023/11/02,368,393.399994,365.549988,372.950012,372.950012,21100773
2023/11/03,376.799988,393,376.25,384.649994,384.649994,12233091
2023/11/06,388.950012,397.600006,381.549988,394,394,17431088
2023/11/07,393.899994,402.600006,380,383.799988,383.799988,18526329
2023/11/08,384,395,381.200012,393.399994,393.399994,20042521
2023/11/09,395.100006,409.649994,390.549988,401.100006,401.100006,28379418
